类型,级次,科目编码,科目名称,助记码,外币币种,计量单位,辅助账类型,账页格式,余额方向,是否借方科目,是否贷方科目
资产,1,1001,现金,,,,,金额式,借,是,是,
资产,2,100101,现金-人民币,,,,,金额式,借,是,是,
资产,2,100102,现金-美元,,,,,金额式,借,是,是,
资产,2,100103,现金-港币,,,,,金额式,借,是,是,
资产,2,100104,现金二-人民币,,,,,金额式,借,是,是,
资产,2,100110,现金-销售款备用金,,,,,金额式,借,是,是,
资产,2,100199,现金-虚拟现金,,,,,金额式,借,是,是,
资产,1,1002,银行存款,,,,,金额式,借,是,是,
资产,2,100207108,银行存款-中行浦东分行RMB银票户,,,,,金额式,借,是,是,
资产,2,100207111,银行存款-中行浦东分行RMB基本户,,,,,金额式,借,是,是,
资产,2,100207112,银行存款-中行浦东分行RMB一般户,,,,,金额式,借,是,是,
资产,2,100207122,银行存款-中行浦东分行USD结算户,,,,,金额式,借,是,是,
资产,2,100207131,银行存款-中行浦东分HKD资本金户,,,,,金额式,借,是,是,
资产,2,100207132,银行存款-中行浦东分行HKD结算户,,,,,金额式,借,是,是,
资产,2,100207133,银行存款-中行浦东分行HKD定期户,,,,,金额式,借,是,是,
资产,2,100207134,银行存款-中行浦东分行HKD外债户,,,,,金额式,借,是,是,
资产,2,100207207,银行存款-中行金茂分RMB冻结帐户,,,,,金额式,借,是,是,
资产,2,100207211,银行存款-中行金茂分RMB基本帐户,,,,,金额式,借,是,是,
资产,2,100207212,银行存款-中行金茂分RMB一般帐户,,,,,金额式,借,是,是,
资产,2,100207213,银行存款-中行金茂分RMB定期帐户,,,,,金额式,借,是,是,
资产,2,100207214,银行存款-中行金茂分RMB按揭帐户,,,,,金额式,借,是,是,
资产,2,100207218,银行存款-中行金茂分RMB保证金户,,,,,金额式,借,是,是,
资产,2,100207232,银行存款-中行金茂分HKD结算帐户,,,,,金额式,借,是,是,
资产,2,100207233,银行存款-中行金茂分HKD定期帐户,,,,,金额式,借,是,是,
资产,2,100207234,银行存款-中行金茂分HKD外债专户,,,,,金额式,借,是,是,
资产,2,100207331,银行存款-中行金茂分HKD资本金户,,,,,金额式,借,是,是,
资产,2,100207412,银行存款-中行江苏省分行一般帐户,,,,,金额式,借,是,是,
资产,2,100207417,银行存款-中行河西分行销售监管户,,,,,金额式,借,是,是,
资产,2,100207512,银行存款-中行昆山支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100207514,银行存款-中行昆山支行RMB贷款户,,,,,金额式,借,是,是,
资产,2,100207522,银行存款-中行昆山支行USD结算户,,,,,金额式,借,是,是,
资产,2,100207542,银行存款-中行昆山支行EUR结算户,,,,,金额式,借,是,是,
资产,2,100207552,银行存款-中行昆山支行AUD结算户,,,,,金额式,借,是,是,
资产,2,100207562,银行存款-中行昆山支行NZD结算户,,,,,金额式,借,是,是,
资产,2,100208121,银行存款-中行浦口支USD资本金户,,,,,金额式,借,是,是,
资产,2,100209110,银行存款-中行绥芬河支RMB临时户,,,,,金额式,借,是,是,
资产,2,100210017,银行存款-工行虹桥支RMB还本付息户,,,,,金额式,借,是,是,
资产,2,100210117,银行存款-工行虹桥支RMB工程款专户,,,,,金额式,借,是,是,
资产,2,100211112,银行存款-工行虹桥支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100211114,银行存款-工行虹桥支行RMB按揭户,,,,,金额式,借,是,是,
资产,2,100211116,银行存款-工行虹桥支行RMB验资户,,,,,金额式,借,是,是,
资产,2,100211117,银行存款-工行虹桥支行RMB监管户（庄园帐套：销售款专户）,,,,,金额式,借,是,是,
资产,2,100211118,银行存款-工行虹桥支行RMB保证金,,,,,金额式,借,是,是,
资产,2,100211119,银行存款-工行虹桥支RMB信用证户,,,,,金额式,借,是,是,
资产,2,100211122,银行存款-工行虹桥支行USD结算户,,,,,金额式,借,是,是,
资产,2,100211123,银行存款-工行虹桥支行USD定期户,,,,,金额式,借,是,是,
资产,2,100211128,银行存款-工行虹桥支行USD保证金,,,,,金额式,借,是,是,
资产,2,100211131,银行存款-工行虹桥支行HKD资本金,,,,,金额式,借,是,是,
资产,2,100211134,银行存款-工行虹桥支行HKD外债户,,,,,金额式,借,是,是,
资产,2,100212111,银行存款-工行浦东分行RMB基本户,,,,,金额式,借,是,是,
资产,2,100212112,银行存款-工行浦东分行RMB一般户,,,,,金额式,借,是,是,
资产,2,100212121,银行存款-工行浦东分行USD资本金,,,,,金额式,借,是,是,
资产,2,100212122,银行存款-工行浦东分行USD结算户,,,,,金额式,借,是,是,
资产,2,100212211,银行存款-工行金茂支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100212212,银行存款-工行金茂支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100213111,银行存款-工行下关中山桥支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100213212,银行存款-工行鼓楼支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100215211,银行存款-建行黄浦支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100216111,银行存款-建行第一支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100216112,银行存款-建行第一支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100216211,银行存款-建行第二支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100216216,银行存款-建行第二支行RMB验资户,,,,,金额式,借,是,是,
资产,2,100216312,银行存款-建行卢湾支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100217212,银行存款-建行金茂分RMB一般帐户,,,,,金额式,借,是,是,
资产,2,100217307,银行存款-建行东方路支行监管户,,,,,金额式,借,是,是,
资产,2,100217312,银行存款-建行东方路RMB一般帐户,,,,,金额式,借,是,是,
资产,2,100217317,银行存款-建行东方路支行监管户（贷款）,,,,,金额式,借,是,是,
资产,2,100217318,银行存款-建行东方路支行保证金户,,,,,金额式,借,是,是,
资产,2,100217331,银行存款-建行东方路支行外币资本金户,,,,,金额式,借,是,是,
资产,2,100217415,银行存款-建行临平路RMB纳税帐户,,,,,金额式,借,是,是,
资产,2,100217512,银行存款-建行延平路RMB一般户,,,,,金额式,借,是,是,
资产,2,100217624,银行存款-建行静安支行USD外债户,,,,,金额式,借,是,是,
资产,2,100217707,银行存款-建行常熟支城中分RMB冻结户,,,,,金额式,借,是,是,
资产,2,100217711,银行存款-建行昆山亭林分RMB基本户,,,,,金额式,借,是,是,
资产,2,100217712,银行存款-建行常熟支城中分RMB一般户,,,,,金额式,借,是,是,
资产,2,100217722,银行存款-建行昆山支行USD结算户,,,,,金额式,借,是,是,
资产,2,100217811,银行存款-建行汉阳支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100220312,银行存款-农行卢湾支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100222112,银行存款-农行浦东分行RMB一般户,,,,,金额式,借,是,是,
资产,2,100222115,银行存款-农行浦东分行RMB纳税户,,,,,金额式,借,是,是,
资产,2,100222312,银行存款-农行杨思支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100222415,银行存款-农行金桥支行RMB纳税户,,,,,金额式,借,是,是,
资产,2,100222517,银行存款-农行昆山前进支行RMB纳税户,,,,,金额式,借,是,是,
资产,2,100222617,银行存款-农行常熟兴福支行纳税户,,,,,金额式,借,是,是,
资产,2,100225107,银行存款-交行市分行RMB冻结帐户,,,,,金额式,借,是,是,
资产,2,100225111,银行存款-交行市分行RMB基本帐户,,,,,金额式,借,是,是,
资产,2,100225112,银行存款-交行市分行RMB一般帐户,,,,,金额式,借,是,是,
资产,2,100225118,银行存款-交行市分行RMB保证金户,,,,,金额式,借,是,是,
资产,2,100227411,银行存款-交行金桥支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100228111,银行存款-交行松江支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100228121,银行存款-交行松江支行USD资本金,,,,,金额式,借,是,是,
资产,2,100229112,银行存款-交行下关支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100233115,银行存款-中信昆山开发支行RMB地税户,,,,,金额式,借,是,是,
资产,2,100233116,银行存款-中信昆山开发支行RMB社保户,,,,,金额式,借,是,是,
资产,2,100235212,银行存款-浦发黄浦支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100235215,银行存款-浦发黄浦支行RMB纳税户,,,,,金额式,借,是,是,
资产,2,100237512,银行存款-浦发陆家嘴支行RMB一般,,,,,金额式,借,是,是,
资产,2,100237515,银行存款-浦发陆家嘴支行RMB纳税,,,,,金额式,借,是,是,
资产,2,100237522,银行存款-浦发陆家嘴支行USD结算,,,,,金额式,借,是,是,
资产,2,100237611,银行存款-浦发常熟支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100237612,银行存款-浦发南京分行RMB一般户,,,,,金额式,借,是,是,
资产,2,100238111,银行存款-浦发昆山支行RMB基本户,,,,,金额式,借,是,是,
资产,2,100238112,银行存款－浦发昆山支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100240112,银行存款-福建兴业分行RMB一般户,,,,,金额式,借,是,是,
资产,2,100240118,银行存款-福建兴业分行RMB保证金,,,,,金额式,借,是,是,
资产,2,100241101,银行存款-福兴华山支行RMB通知03,,,,,金额式,借,是,是,
资产,2,100241102,银行存款-福兴华山支行RMB通知87,,,,,金额式,借,是,是,
资产,2,100241103,银行存款-福兴华山支行RMB通知66,,,,,金额式,借,是,是,
资产,2,100241104,银行存款-福兴华山支行RMB通知17,,,,,金额式,借,是,是,
资产,2,100241108,银行存款-福兴华山支行RMB银票户,,,,,金额式,借,是,是,
资产,2,100241112,银行存款-福兴华山支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100241117,银行存款-兴业华山支行RMB监管户,,,,,金额式,借,是,是,
资产,2,100242112,银行存款-福兴浦东支行RMB一般户,,,,,金额式,借,是,是,
资产,2,100245110,银行存款-深发展市分行RMB动迁户,,,,,金额式,借,是,是,
资产,2,100245112,银行存款-深发展市分行RMB一般户,,,,,金额式,借,是,是,
资产,2,100245113,银行存款-深发展市分行RMB定期户,,,,,金额式,借,是,是,
资产,2,100245114,银行存款-深发展市分行RMB按揭户,,,,,金额式,借,是,是,
资产,2,100245115,银行存款-深发展上海市分行RMB临时户,,,,,金额式,借,是,是,
资产,2,100245118,银行存款-深发展分行RMB保证金户,,,,,金额式,借,是,是,
资产,2,100245138,银行存款-深发展市分行HKD质押户,,,,,金额式,借,是,是,
资产,2,100246112,银行存款-深发展外滩支RMB一般户,,,,,金额式,借,是,是,
资产,2,100246113,银行存款-深发展外滩支RMB定期户,,,,,金额式,借,是,是,
