自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
10101,立项,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1
1010101,可行性研究,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.1
1010102,规划选址,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.2
1010103,地名申请,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.3
1010104,计委立项,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.4
1010105,投资预算,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.5
1010106,融资计划,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.6
1010107,建设用地规划许可证,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.7
1010108,土地勘测,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.8
1010109,出让合同,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.9
1010110,建设用地批准书,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.1
1010111,房地产权证（地块证）,admin,进行中,一般,0%,2008-3-27,2008-4-27,2008-3-27,,1.11
