自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
102,项目建设阶段,admin,进行中,一般,0%,2008-7-27,2008-10-27,,,1
10201,施工准备工作,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.1
10202,单体施工,admin,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2
1020201,1号楼,admin,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1
102020101,基础工程,admin,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.1
10202010101,打桩,admin,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.1.1
10202010102,挖土,admin,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.1.2
10202010103,基础,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.1.3
10202010104,回填土,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.1.4
102020102,主体结构,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.2
10202010201,钢筋,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.2.1
10202010202,模板,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.2.2
10202010203,砼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.2.3
10202010204,砖墙,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.2.4
102020103,装饰工程施工,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3
10202010301,内外粉刷,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.1
10202010302,门窗工程,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.2
10202010303,阳台栏杆/遮阳架,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.3
10202010304,屋面工程,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.4
10202010305,地坪,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.5
10202010306,外墙外保温,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.6
10202010307,外墙涂料,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.3.7
102020104,安装工程,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.4
10202010401,屋顶不锈钢水箱,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.4.1
