费用项编码,费用项名称,科目编码,费用分解说明,备注
'12,'建设费用,',','
'1201,'施工前期费用,',','
'120101,'保险,'410108906,','
'120102,'废路,'410101005,','
'120103,'围墙,'410108017,','
'120104,'临时水,'410108902,','
'120105,'临时电,'410108902,','
'120106,'拆迁,'410101005,','
'120107,'临时通道,'410108051,','
'120108,'临时保护,'410108051,','
'120109,'临时办公室,'410108904,','
'120110,'临时仓库,'410108904,','
'120111,'临时垂直运输,'410108904,','
'120112,'清洁,',','
'120113,'保安,',','
'1202,'桩基及地下室,',','
'120201,'桩基,'410108001,','
'120202,'维护/土方,'410108002,','
'120203,'检测,'410108001,','
'120204,'支撑/爆破,'410108001,','
'120205,'拔桩/清障,'410108001,','
'120206,'地下室结构,'410108019,','
'120207,'人防结构,'410108019,','
'1203,'结构及土建,',','
'120301,'土建结构,'410108002,','
'120302,'钢结构,'410108002,','
'120303,'幕墙/窗/百页,'410108021,','
'120304,'外墙装饰,'410108021,','
'120305,'屋面装饰,'410108021,','
'120306,'清洁系统,'410108904,','
'120307,'外围景观,'410108017,','
'1204,'精装修,',','
'120401,'装饰材料-瓷砖,'410108009,','
'120402,'装饰材料-马赛克,'410108009,','
'120403,'装饰材料-玻璃,'410108009,','
'120404,'装饰材料-石材,'410108009,','
'120405,'装饰材料-地板,'410108009,','
'120406,'装饰材料-地毯,'410108009,','
'120407,'装饰材料-墙纸,'410108009,','
'120408,'装饰材料-窗帘,'410108009,','
'120409,'门,'410108009,','
'120410,'门五金,'410108009,','
'120411,'门锁,'410108009,','
'120412,'按摩浴缸,'410108009,','
'120413,'洁具,'410108009,','
'120414,'龙头,'410108009,','
'120415,'花洒,'410108009,','
'120416,'台盆,'410108009,','
'120417,'卫浴五金,'410108009,','
'120418,'卫浴配件,'410108009,','
'120419,'灯具,'410108009,','
'1205,'机电/设备,',','
'120501,'机电,'410108003,','
'120502,'强电,'410108003,','
'120503,'弱电,'410108005,','
'120504,'给排水,'410107003,','
'120505,'空调通风,'410108004,','
'120506,'消防,'410108003,','
'120507,'燃气,'410107005,','
'120508,'对讲/门禁系统,'410108005,','
'120509,'保安系统,'410108005,','
'120510,'电视系统,'410108005,','
'120511,'有线电视系统,'410107021,','
'120512,'电话系统,'410107004,','
'120513,'无线通讯系统,'410107031,','
'120514,'宽带系统,'410107031,','
'120515,'紧急广播及背景音响系统,'410108005,','
'120516,'楼宇管理系统,'410108005,','
'120517,'远程抄表系统,'410108005,','
'120518,'智能化系统,'410108005,','
'120520,'停车场管理系统,'410108005,','
'120521,'公告发布系统,'410108005,','
'120522,'市政电视系统,'410108005,','
'120523,'会议系统,'410108005,','
'120524,'灯光调控系统,'410108005,','
'120525,'防盗系统,'410108005,','
'120526,'防雷/接地,'410107091,','
'120527,'升降机/扶手梯,'410107091,','
'120528,'水泵,'410107002,','
'120529,'水处理,'410107003,','
'120531,'开关插座,'410108005,','
'120532,'变压器,'410108005,','
'120533,'灯具,'410108003,','
'120534,'游泳池过滤系统,'410107091,','
'120535,'蒸汽/桑拿系统,'410107091,','
'120538,'清洁,'410107003,','
'1206,'外围工程,',','
'120601,'保安,'410108017,','
'120602,'标志,'410108017,','
'120603,'船,'410108017,','
'120604,'道路划线,'410108017,','
'120605,'雕塑,'410108017,','
'120606,'儿童游乐设施,'410108017,','
'120607,'废物处理,'410108017,','
'120608,'广告,'410108017,','
'120609,'假石山,'410108017,','
'120610,'健身设备,'410108017,','
'120611,'交通设施及标线,'410108017,','
'120612,'景观,'410108017,','
'120613,'临时厕所,'410108017,','
'120614,'绿化,'410108015,','
'120615,'喷泉,'410108017,','
'120616,'旗杆,'410108017,','
'120617,'人工湖景观/绿化,'410108017,','
'120618,'人工湖水处理,'410108017,','
'120619,'人工湖水生动/植物,'410108017,','
'120620,'人工湖总体,'410108017,','
'120621,'审图/出图章,'410108017,','
'120622,'室外总体,'410108017,','
'120623,'网球场,'410108017,','
'1207,'家具及设备,',','
'120701,'保险箱,'410108009,','
'120702,'标志,'410108009,','
'120703,'厨房设备,'410108009,','
'120704,'橱柜,'410108009,','
'120705,'床,'410108009,','
'120706,'电话系统,'410108009,','
'120707,'电视机,'410108009,','
'120708,'儿童游乐设施,'410108009,','
'120709,'画,'410108009,','
'120710,'活动家具,'410108009,','
'120711,'计算机系统,'410108009,','
'120712,'家电,'410108009,','
'120713,'健身设备,'410108009,','
'120714,'镜,'410108009,','
'120715,'洗衣房设备,'410108009,','
'120716,'衣柜,'410108009,','
'120717,'影音系统,'410108009,','
'120718,'装饰品,'410108009,','
'1208,'市政配套,',','
'120801,'保证金,',','
'120802,'报建费,'410103099,','
'120803,'登记费,'410106002,','
'120804,'人防赔偿费,'410103099,','
'120805,'市政-道路,'410107091,','
'120806,'市政-电信,'410107021,','
'120807,'市政-废物,'410108017,','
'120808,'市政-给排水,'410107003,','
'120809,'市政-供电,'410107001,','
'120810,'市政-供水,'410107002,','
'120811,'市政-管道,'410108017,','
'120812,'市政-绿化,'410108015,','
'120813,'市政-燃气,'410107005,','
'120814,'税金,',','
'120815,'招投标费用,'410103018,','
'120816,'质量监督,'410106002,','
'120817,'专资资金,'410103099,','
'1209,'顾问,',','
'120901,'标志设计顾问,'410103003,','
'120902,'厨房设备顾问,'410103003,','
'120903,'灯光顾问,'410103003,','
'120904,'电讯顾问,'410103099,','
'120905,'房型示意图制作顾问,'410102002,','
'120906,'钢结构设计顾问,'410103011,','
'120907,'估算师,'410103001,','
'120908,'顾问-沉降监测,'410106002,','
'120909,'顾问-城市规划,'410103099,','
'120910,'顾问-地质勘察,'410105001,','
'120911,'顾问-防雷检测,'410106002,','
'120912,'顾问-房地产技术咨询,'410103021,','
'120913,'顾问-红线控制,'410103099,','
'120914,'顾问-环境监测,'410103021,','
'120915,'顾问-基坑技术,'410103099,','
'120916,'顾问-监理,'410104001,','
'120917,'顾问-抗震,'410105001,','
'120918,'顾问-可行性研究,'410103021,','
'120919,'顾问-人防设计,'410102002,','
'120920,'顾问-日照,'410103099,','
'120921,'顾问-审图,'410103099,','
'120922,'顾问-天燃气管道设计,'410102002,','
'120923,'顾问-土地评估,'410103021,','
'120924,'顾问-文件审核,'410103018,','
'120925,'顾问-消防,'410106002,','
'120926,'顾问-招标代理,'410103018,','
'120927,'顾问-招投标,'410103018,','
'120928,'顾问-桩,'410103021,','
'120929,'管道设计顾问,'410103003,','
'120930,'机电顾问,'410103002,','
'120931,'基坑围护设计顾问,'410103099,','
'120932,'技术开发顾问,'410103099,','
'120933,'假石山顾问,'410102003,','
'120934,'景观设计顾问,'410102003,','
'120935,'酒店管理顾问,'160303031,','
'120936,'幕墙顾问,'410103012,','
'120937,'商场管理顾问,'160303099,','
'120938,'设计顾问,'410102002,','
'120939,'声学顾问,'410103018,','
'120940,'室内设计顾问,'410103003,','
'120941,'艺术品顾问,'410103099,','
'120942,'音视频顾问,'410103003,','
'120114,'开工奠基工程,',','
'120299,'其他,',','
'120399,'其他,',','
'120499,'其他,',','
'120599,'其他,',','
'120699,'其他,',','
'120799,'其他,',','
'120899,'其他,',','
'120420,'精装修,'410108009,','
'120421,'布艺,',','
'120624,'泛光照明,',','
'120625,'永久围墙,'410108017,','
'120819,'有线电视,'410107021,','
'120999,'其它,'410103099,','
'120115,'临时排污,',','
'120208,'勘探,',','
'120943,'国外设计公司,',','
'120116,'临时排污,'410107003,','
'120539,'紧急广播及背景音响系统,',','
'120199,'其他,',','
'120944,'当地设计院,',','
'120945,'顾问—精装修,',','
'120946,'顾问--园林设计,',','
'120309,'屋面装饰,'410108021,','
'120519,'无线通讯系统,'410108005,','
'120530,'给排水,'410107003,','
'120536,'对讲/门禁系统,'410107091,','
'120537,'紧急广播及背景音响系统,'410107091,','
'120540,'清洁,',','
'120818,'专资资金,',','
'120719,'桑拿,'410108009,','
'120310,'木门/防火门,',','
'120311,'石材,',','
'120947,'工程监理,',','
'120948,'顾问--环境评估,',','
'120820,'垃圾处理,',','
'120949,'其他,',','
'11,'开发费用,',','
'1101,'前期费用,',','
'110101,'公关费用,',','
'110102,'业务费,',','
'110103,'项目策划咨询费用（含中介费）,',','
'110104,'其他,',','
'1102,'前期技术费,',','
'110201,'可行性研究,',','
'110202,'策划费用,',','
'1103,'土地及相关费用,',','
'110301,'土地费及出让金,',','
'110302,'契税,',','
'110303,'办证费用,',','
'110304,'建筑设计,',','
'110305,'规划设计,',','
'110306,'配套费用,',','
'14,'人事费用,',','
'1401,'招聘费用,',','
'140101,'招聘广告费,',','
'140102,'猎头中介费,',','
'140103,'体检费,',','
'140104,'其它（如视频面试会）,',','
'1402,'工资与社保,',','
'140201,'工资总额,',','
'140202,'奖金,',','
'140203,'佣金,',','
'140204,'养老保险,',','
'140205,'失业保险,',','
'140206,'医疗保险,',','
'140207,'外地人综合保险,',','
'140208,'工伤保险,',','
'140209,'生育保险,',','
'140210,'公积金,',','
'1403,'其他福利,',','
'140301,'其他(助疾费/小企业欠薪保障金),',','
'140302,'附加商业保险,',','
'140303,'生日会,',','
'140304,'康乐费,',','
'140305,'结婚贺礼,',','
'140306,'子女诞辰,',','
'140307,'丧事抚慰费,',','
'140308,'住房补贴(异地招聘人员),',','
'140309,'生活补贴（派遣人员）,',','
'140310,'年度健康体检费用,',','
'140311,'私车公用补贴,',','
'140312,'其它(人寿年金保险),',','
'140313,'员工活动,',','
'1404,'培训费用,',','
'140401,'内训,',','
'140402,'外训,',','
'140403,'资料、书刊杂志,',','
'140404,'培训差旅,',','
'140405,'培训场地租赁（培训耗材购置费）,',','
'140406,'其它,',','
'1405,'咨询顾问费,',','
'140501,'人事代理费(含存档),',','
'140502,'手续办理费,',','
'140503,'管理咨询费,',','
'140504,'其他,',','
'13,'行政费用,',','
'1301,'房屋租金,',','
'130101,'办公租金,',','
'130102,'物业管理,',','
'130103,'绿化服务,',','
'130104,'办公水电,',','
'1302,'通讯费用,',','
'130201,'市内话费,',','
'130202,'长途话费,',','
'130203,'网络费用,',','
'130204,'员工手机,',','
'130205,'电话安装费,',','
'1303,'后勤费用,',','
'130301,'书报杂志,',','
'130302,'饮用水费,',','
'130303,'午餐费用,',','
'130304,'工作制服,',','
'130305,'劳防用品,',','
'1304,'车辆费用,',','
'130401,'车辆采购,',','
'130402,'车辆油费,',','
'130403,'车辆保险,',','
'130404,'停车路桥,',','
'130405,'车辆维保,',','
'130406,'养路费用,',','
'1305,'家具设备,',','
'130501,'电脑设备,',','
'130502,'办公设备,',','
'130503,'办公家具,',','
'130504,'设备维修,',','
'130505,'日常维修,',','
'1306,'日常办公,',','
'130601,'印刷费用,',','
'130602,'办公用品,',','
'130603,'日用物品,',','
'130604,'快递邮费,',','
'130605,'市内交通,',','
'130606,'洗衣费用,',','
'130607,'误餐费,',','
'1307,'公关费用,',','
'130701,'招待礼品,',','
'130702,'酒店住宿,',','
'1308,'其他费用,',','
'130801,'装修费用,',','
'130802,'证照年检,',','
'130899,'其他,',','
'15,'财务费用,',','
'17,'其他费用,',','
'1501,'银行存款利息支出,',','
'1502,'股东贷款利息支出,',','
'1503,'融资咨询费用,',','
'1504,'银行手续费,',','
'1505,'汇兑损益,',','
'1506,'其他,',','
'130804,'出差费用,',','
'16,'销售费用,',','
'1601,'营销代理费用,',','
'1602,'模型、销售中心、样板房、装修,',','
'1603,'营销佣金,',','
'1604,'销售策划、广告费用,',','
'1605,'销售业务费用,',','
'1606,'销售其它,',','
